equipo,elo,pj
Spain,2210.7,783
Argentina,2188.7,1069
France,2121.7,935
England,2087.0,1090
Brazil,2067.6,1059
Colombia,2062.8,638
Portugal,2031.3,695
Ecuador,2026.3,591
Netherlands,2012.3,879
Germany,2007.2,1031
Japan,1992.7,790
Morocco,1984.2,617
Mexico,1976.0,1003
Uruguay,1974.1,970
Belgium,1971.5,853
Croatia,1964.1,396
Turkey,1962.9,642
Switzerland,1960.6,884
Norway,1956.7,872
Italy,1919.3,893
Paraguay,1917.5,783
Denmark,1916.2,874
Senegal,1913.5,638
Australia,1901.6,581
Iran,1898.2,612
Canada,1894.5,469
Austria,1894.5,860
Algeria,1884.0,617
Nigeria,1881.6,661
South Korea,1880.6,1007
Yugoslavia,1873.0,483
Panama,1847.7,539
Ukraine,1845.0,338
Russia,1843.0,749
Scotland,1833.6,851
United States,1825.3,790
Venezuela,1821.8,460
Uzbekistan,1820.5,354
Ivory Coast,1814.5,636
Egypt,1810.0,756
Jersey,1805.3,235
Czechoslovakia,1804.7,520
Chile,1803.7,835
Basque Country,1799.3,64
Czech Republic,1796.2,360
Serbia,1789.7,348
Greece,1787.8,633
Poland,1777.0,892
Jordan,1775.1,485
Hungary,1772.2,1006
Peru,1770.6,714
Sweden,1765.2,1101
DR Congo,1762.6,524
Republic of Ireland,1760.0,633
Kosovo,1759.9,104
Guernsey,1745.6,240
Costa Rica,1743.1,724
Wales,1740.9,726
Slovenia,1738.6,317
Tunisia,1738.0,678
Iraq,1737.8,655
German DR,1732.0,298
New Zealand,1731.8,416
Slovakia,1731.6,367
Cameroon,1723.9,616
Bolivia,1715.5,534
Isle of Man,1709.1,58
Mali,1708.1,569
Georgia,1705.7,307
Honduras,1699.7,620
Haiti,1697.4,510
Romania,1697.0,766
Saudi Arabia,1691.4,741
Israel,1690.0,498
Northern Cyprus,1689.4,34
Occitania,1686.8,33
Padania,1686.2,45
Albania,1674.0,398
United Arab Emirates,1665.2,612
Northern Ireland,1664.4,707
South Africa,1662.3,480
Isle of Wight,1660.1,48
Catalonia,1655.2,48
Cape Verde,1653.2,235
Burkina Faso,1651.7,464
Jamaica,1651.7,663
Bosnia and Herzegovina,1649.1,283
North Macedonia,1647.6,306
Iraqi Kurdistan,1645.3,27
Guatemala,1640.5,554
Ynys Môn,1639.8,67
Iceland,1636.3,522
Abkhazia,1628.2,33
Ghana,1624.5,671
Finland,1614.1,818
Kárpátalja,1606.8,11
Curaçao,1601.1,385
Syria,1599.1,484
Kernow,1595.6,12
Andalusia,1592.6,13
Rhodes,1591.4,18
County of Nice,1591.0,9
New Caledonia,1590.2,265
Angola,1588.8,415
Palestine,1588.1,249
Tamil Eelam,1586.8,28
Panjab,1585.7,19
Belarus,1584.4,315
Suriname,1582.9,399
Réunion,1581.2,124
Guinea,1577.9,539
Oman,1573.7,543
Ellan Vannin,1569.8,22
Kurdistan,1567.3,5
Menorca,1566.1,25
Qatar,1566.0,635
Artsakh,1557.3,11
Corsica,1555.8,9
Chameria,1553.9,7
Yorkshire,1553.3,7
China,1552.3,702
Zambia,1550.1,793
Arameans Suryoye,1546.3,10
Quebec,1546.2,3
Cascadia,1545.3,7
Bahrain,1540.8,584
Bulgaria,1540.2,736
Benin,1539.2,325
Gambia,1539.0,266
Zanzibar,1534.1,209
Thailand,1532.9,865
Trinidad and Tobago,1531.4,753
Libya,1530.4,384
Maule Sur,1528.3,2
Galicia,1527.7,12
Gabon,1521.3,405
Asturias,1520.5,1
Western Armenia,1518.6,16
Montenegro,1518.4,170
Surrey,1516.2,1
Canary Islands,1515.1,4
Biafra,1514.7,3
Elba Island,1514.3,2
Parishes of Jersey,1513.9,3
Uganda,1512.9,685
Donetsk PR,1511.8,6
Kazakhstan,1511.2,269
Guadeloupe,1510.8,271
Madagascar,1509.9,320
Mapuche,1508.5,2
Felvidék,1507.5,12
Silesia,1506.8,8
Tahiti,1505.8,242
Crimea,1504.8,5
Brittany,1504.3,12
Indonesia,1503.8,728
Shetland,1503.1,58
United Koreans in Japan,1501.1,12
Délvidék,1500.2,2
Niger,1498.9,260
Togo,1495.7,447
Central Spain,1495.3,2
Saugeais,1494.7,1
Székely Land,1494.7,27
Mozambique,1494.3,375
North Korea,1493.5,390
El Salvador,1492.4,614
Cilento,1490.6,1
Madrid,1489.5,1
Nicaragua,1489.5,222
Luhansk PR,1489.2,6
North Vietnam,1488.1,24
Sápmi,1487.2,29
Seborga,1486.4,1
Comoros,1485.6,151
Sealand,1483.9,12
Yoruba Nation,1483.5,2
Matabeleland,1482.1,8
Malaysia,1481.6,835
Republic of St. Pauli,1480.8,4
Guyana,1480.3,313
Franconia,1478.2,3
Somaliland,1477.7,6
South Ossetia,1475.6,17
Zimbabwe,1475.4,496
Sudan,1475.0,469
Kuwait,1474.8,684
Ryūkyū,1474.4,1
West Papua,1474.3,2
Åland Islands,1473.4,51
Martinique,1473.2,331
Sierra Leone,1470.8,301
Kenya,1470.7,706
Gozo,1469.3,14
South Yemen,1468.9,3
Vietnam,1468.6,297
Luxembourg,1467.7,467
Greenland,1465.3,77
Romani people,1463.8,7
Aymara,1463.2,2
Hmong,1461.1,3
Provence,1460.2,23
Dominican Republic,1459.9,159
Kabylia,1455.8,6
East Turkestan,1455.2,5
Mayotte,1454.9,38
Kyrgyzstan,1452.8,191
Monaco,1452.1,24
Chechnya,1451.3,3
Rwanda,1447.2,280
