date,home_team,away_team,elo_home_pre,elo_away_pre,local_home,dr,home_score,away_score,tournament
2018-01-02,Iraq,United Arab Emirates,1691.484553207298,1667.4189278785148,0,24.0656253287832,0,0,Gulf Cup
2018-01-02,Oman,Bahrain,1615.7846511925045,1541.4565438629818,0,74.32810732952271,1,0,Gulf Cup
2018-01-05,Oman,United Arab Emirates,1627.6237249510223,1668.4562659800874,0,-40.83254102906517,0,0,Gulf Cup
2018-01-07,Estonia,Sweden,1597.6626528117974,1850.8180433911768,0,-253.1553905793794,1,1,Friendly
2018-01-11,Indonesia,Iceland,1372.0907920595039,1862.060102686788,1,-389.96931062728413,0,6,Friendly
2018-01-11,Denmark,Sweden,1874.7730697802608,1844.5957185981379,0,30.177351182122948,0,1,Friendly
2018-01-11,Jordan,Finland,1604.4704951892752,1637.0065481133875,0,-32.536052924112255,1,2,Friendly
2018-01-14,Indonesia,Iceland,1368.0194978978263,1866.1313968484656,1,-398.1118989506392,1,4,Friendly
2018-01-27,Moldova,South Korea,1367.6546476015078,1836.9484286968614,0,-469.29378109535355,0,1,Friendly
2018-01-28,Yorkshire,Ellan Vannin,1500.0,1543.1363210409984,1,56.86367895900162,1,1,Friendly
2018-01-28,United States,Bosnia and Herzegovina,1853.0425776942056,1775.0466859315604,1,177.99589176264521,0,0,Friendly
2018-01-30,Azerbaijan,Moldova,1443.1804292675529,1366.396916740596,0,76.78351252695688,0,0,Friendly
2018-01-30,Jamaica,South Korea,1658.08236423448,1838.2061595577732,0,-180.12379532329305,2,2,Friendly
2018-01-31,Mexico,Bosnia and Herzegovina,1928.6379935949044,1779.7641428841478,0,148.87385071075664,1,0,Friendly
2018-02-03,Latvia,South Korea,1415.6693274937884,1833.4412243150573,0,-417.7718968212689,0,1,Friendly
2018-02-26,Saudi Arabia,Moldova,1681.6904232265015,1368.571633292309,1,413.1187899341926,3,0,Friendly
2018-02-28,Iraq,Saudi Arabia,1690.4472151057253,1684.6604452216761,1,105.78676988404914,4,1,Friendly
2018-03-17,Iran,Sierra Leone,1896.6780559365466,1487.66212264482,1,509.01593329172647,4,0,Friendly
2018-03-21,Laos,Cambodia,1025.5670892035787,1033.9011430296125,1,91.66594617396618,0,1,Friendly
2018-03-21,Zambia,Zimbabwe,1611.0141964711456,1591.3166245626364,1,119.69757190850919,2,2,Friendly
2018-03-21,Tahiti,New Caledonia,1535.0874290905938,1559.532532035312,1,75.5548970552818,0,0,Friendly
2018-03-21,South Africa,Angola,1629.7286334342957,1362.6555515720904,0,267.0730818622053,1,1,Friendly
2018-03-21,Madagascar,Togo,1453.714033414984,1474.4081377248544,0,-20.694104309870454,0,0,Friendly
2018-03-21,Antigua and Barbuda,Bermuda,1362.501315498133,1454.2623268518976,1,8.238988646235384,3,2,Friendly
2018-03-21,Jordan,Kuwait,1595.4042301617656,1487.5938801407153,1,207.81035002105023,1,0,Friendly
2018-03-21,Iraq,Qatar,1702.7776108219762,1556.8273786129018,1,245.95023220907433,2,3,Friendly
2018-03-21,Andorra,Liechtenstein,1056.3178567924324,1205.7751053578693,0,-149.45724856543688,1,0,Friendly
2018-03-22,Nicaragua,Cuba,1350.6330096831796,1448.5842340882805,1,2.048775594899098,3,1,Friendly
2018-03-22,Malta,Luxembourg,1251.069897463653,1350.294536547473,1,0.7753609161800341,0,1,Friendly
2018-03-22,Philippines,Fiji,1345.1668243635186,1557.329162939235,1,-112.16233857571638,3,2,Friendly
2018-03-22,Dominican Republic,Turks and Caicos Islands,1419.2807914883776,1187.144148329194,1,332.1366431591837,4,0,Friendly
2018-03-22,Thailand,Gabon,1532.6853160422556,1515.1407954197184,1,117.54452062253722,0,0,Friendly
2018-03-22,Malaysia,Mongolia,1236.8133975050416,1057.3688541870686,1,279.44454331797306,2,2,Friendly
2018-03-22,Slovakia,United Arab Emirates,1785.1064274070413,1666.7014553355039,0,118.40497207153749,2,1,Friendly
2018-03-22,Macau,Mauritius,962.3185012454501,1218.931705404386,1,-156.613204158936,0,1,Friendly
2018-03-22,Belize,Grenada,1344.0860881150559,1278.47617107886,1,165.60991703619584,4,2,Friendly
2018-03-22,Faroe Islands,Latvia,1321.809398621104,1414.0133136189481,0,-92.2039149978441,1,1,Friendly
2018-03-22,Denmark,Panama,1863.9066734559665,1797.5023872575525,1,166.40428619841396,1,0,Friendly
2018-03-22,China,Wales,1660.8511869822237,1798.4582263241448,1,-37.60703934192111,0,6,Friendly
2018-03-22,Burkina Faso,Guinea-Bissau,1700.0075769721634,1394.4177285653332,0,305.58984840683024,2,0,Friendly
